item,type,color,pattern
black corduroys,pants,black,solid
black tights,pants,black,solid
light skinny jeans,pants,blue,denim
dark skinny jeans,pants,blue,denim
cream dress,dress,white,solid
black ripped jeans,pants,black,denim
blue plaid skirt,skirt,blue,plaid
tribal tank top,top,blue,tribal
black triangle dress,dress,black,geometric
leggings,pants,black,solid
navy blue romper,dress,blue,floral
embroidered dress,dress,blue,floral
striped blue sweater,sweater,blue,stripes
polka dot button up,top,blue,polka dots
adidas joggers,pants,black,solid
black jeans,pants,black,denim
light flared jeans,pants,blue,denim
sparkly grey dress,dress,grey,other
hawaiian shirt,top,blue,other
soft blue button down,top,blue,polka dots
r&g t shirt,top,multi,other
purple lace dress,dress,purple,lace
flower crop top,top,red,floral
grey striped sweater,sweater,grey,stripes
black flowered dress,dress,black,floral
grey cable knit sweater,sweater,grey,other
red lace shirt,top,red,lace
red lace up dress,dress,red,solid
grey flowered sweater,sweater,grey,floral
blue plaid flannel,top,blue,plaid
grey crop top,top,grey,solid
tribal crop top,top,grey,tribal
black boots,shoes,black,solid
black circle skirt,skirt,black,solid
black button skirt,skirt,black,solid
red plaid flannel,top,red,plaid
long sleeve lace crop top,top,white,lace
red tank top,top,red,lace
purple triangle dress,dress,purple,geometric
maroon sweater,sweater,red,stripes
alpaca sweater,sweater,grey,other
pink tee,top,pink,solid
silver tank top,top,grey,lace
flower crown,other,pink,floral
rosie the riveter tank top,top,black,other
see through dress,dress,blue,polka dots
navy circle skirt,skirt,blue,solid
white dress,dress,white,solid
blue flowered tank top,top,blue,floral
black lace tank top,top,black,lace
pink bralette,other,pink,lace
black lace shirt,top,black,lace
grey cardigan,sweater,grey,solid
new black boots,shoes,black,solid
sneakers,shoes,black,solid
thirsty thursday tank,top,black,other
maroon skirt,skirt,red,geometric
black vans,shoes,black,solid
gold vans,shoes,black,other
black bra,other,black,lace
black bralette,other,black,lace
red button dress,dress,red,solid
